City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Leningradskiy,RU,2021-12-04 17:22:43,69.3833,178.4167,-27.81,98,98,2.22
144,Port Elizabeth,ZA,2021-12-04 17:22:43,-33.918,25.5701,17.83,88,90,6.17
145,Vardo,NO,2021-12-04 17:22:44,70.3705,31.1107,-5.72,72,9,7.46
146,Itarema,BR,2021-12-04 17:19:15,-2.9248,-39.9167,31.13,57,58,7.62
147,Hailey,US,2021-12-04 17:22:44,43.5196,-114.3153,-1.08,80,1,4.12
148,Caravelas,BR,2021-12-04 17:22:44,-17.7125,-39.2481,27.29,67,25,4.04
149,Omboue,GA,2021-12-04 17:22:45,-1.5746,9.2618,26.51,85,97,4.44
150,Manzil Salim,TN,2021-12-04 17:22:45,35.8567,8.4765,10.0,52,0,1.6
151,Tasiilaq,GL,2021-12-04 17:22:45,65.6145,-37.6368,-0.91,74,100,7.17
152,Nuevo Progreso,MX,2021-12-04 17:22:46,23.1667,-97.95,28.08,66,6,0.89
153,Salalah,OM,2021-12-04 17:22:46,17.0151,54.0924,26.05,61,0,1.54
154,Wladyslawowo,PL,2021-12-04 17:22:46,54.7909,18.4009,2.74,94,91,2.92
155,Necochea,AR,2021-12-04 17:22:46,-38.5473,-58.7368,16.13,44,37,6.13
156,Atuona,PF,2021-12-04 17:22:47,-9.8,-139.0333,25.71,75,34,8.99
157,Broken Hill,AU,2021-12-04 17:19:16,-31.95,141.4333,18.07,38,92,6.4
158,Socorro,US,2021-12-04 17:22:47,31.6546,-106.3033,17.16,39,40,0.0
159,Hornepayne,CA,2021-12-04 17:22:47,49.2138,-84.7705,-9.34,80,100,3.88
160,Kavieng,PG,2021-12-04 17:22:48,-2.5744,150.7967,28.05,80,49,6.3
161,Tuktoyaktuk,CA,2021-12-04 17:22:48,69.4541,-133.0374,-31.0,76,1,2.57
162,Superior,US,2021-12-04 17:18:17,46.7208,-92.1041,-1.4,58,1,7.2
163,Teguldet,RU,2021-12-04 17:22:49,57.3064,88.1667,-6.22,91,100,4.73
164,Ledyard,US,2021-12-04 17:22:49,41.4398,-72.0142,7.3,60,75,1.79
165,Nyagan,RU,2021-12-04 17:22:49,62.1406,65.3936,-17.57,95,100,3.68
166,Souillac,MU,2021-12-04 17:22:48,-20.5167,57.5167,26.31,83,20,3.09
167,Keffi,NG,2021-12-04 17:22:49,8.8486,7.8736,32.21,23,12,2.4
168,Taloqan,AF,2021-12-04 17:22:50,36.7361,69.5345,7.01,77,100,1.57
169,Dingzhou,CN,2021-12-04 17:22:50,38.5131,114.9956,-1.94,46,4,1.24
170,Mataura,NZ,2021-12-04 17:22:40,-46.1927,168.8643,14.71,93,58,1.34
171,Hirado,JP,2021-12-04 17:22:50,33.3597,129.5531,7.44,62,94,2.3
172,Umea,SE,2021-12-04 17:22:51,63.8284,20.2597,-7.27,73,0,3.6
173,Kerema,PG,2021-12-04 17:22:51,-7.9631,145.7785,25.47,87,92,1.88
174,Clyde River,CA,2021-12-04 17:22:51,70.4692,-68.5914,-10.87,85,100,12.35
175,Lavrentiya,RU,2021-12-04 17:22:52,65.5833,-171.0,-17.49,91,64,3.42
176,Port Blair,IN,2021-12-04 17:22:52,11.6667,92.75,26.49,80,59,4.7
177,Caohai,CN,2021-12-04 17:22:52,26.8661,104.2841,5.6,96,100,1.05
178,Lagos,NG,2021-12-04 17:17:55,6.5833,3.75,31.18,73,90,3.44
179,Champasak,LA,2021-12-04 17:22:53,14.75,106.0,15.81,80,69,0.81
180,Azul,AR,2021-12-04 17:22:53,-36.777,-59.8585,17.61,81,93,1.58
181,Upernavik,GL,2021-12-04 17:20:22,72.7868,-56.1549,-12.09,72,99,3.24
182,Kloulklubed,PW,2021-12-04 17:22:53,7.0419,134.2556,25.28,77,100,4.77
183,Hamilton,US,2021-12-04 17:19:36,39.1834,-84.5333,11.8,59,1,0.89
184,Kruisfontein,ZA,2021-12-04 17:22:54,-34.0033,24.7314,16.6,94,100,7.43
185,Saint Anthony,US,2021-12-04 17:22:54,45.0205,-93.218,1.53,51,20,0.89
186,Hami,CN,2021-12-04 17:23:54,42.8,93.45,-2.75,56,71,0.39
187,Maragogi,BR,2021-12-04 17:23:54,-9.0122,-35.2225,28.58,70,72,4.92
188,Pacific Grove,US,2021-12-04 17:22:45,36.6177,-121.9166,12.06,82,90,0.89
189,Bilma,NE,2021-12-04 17:22:54,18.6853,12.9164,23.11,13,18,5.47
190,Kiunga,PG,2021-12-04 17:23:55,-6.1219,141.2906,22.95,100,94,1.08
191,Jesup,US,2021-12-04 17:23:55,31.6074,-81.8854,23.01,60,1,0.0
192,Bridgewater,CA,2021-12-04 17:23:56,44.3835,-64.5155,-0.21,65,51,6.17
193,Hasaki,JP,2021-12-04 17:23:56,35.7333,140.8333,4.22,52,1,10.01
194,Komsomolskiy,UZ,2021-12-04 17:23:56,40.4272,71.7189,5.4,65,100,0.0
195,Kavaratti,IN,2021-12-04 17:23:56,10.5669,72.642,27.67,75,11,2.52
196,Tessalit,ML,2021-12-04 17:23:57,20.1986,1.0114,25.88,12,49,4.82
197,Lucea,JM,2021-12-04 17:23:57,18.451,-78.1736,29.92,71,80,8.25
198,Semnan,IR,2021-12-04 17:23:57,35.5729,53.3971,6.16,50,73,1.0
199,Paamiut,GL,2021-12-04 17:23:58,61.994,-49.6678,3.73,75,94,18.79
200,Rehoboth,NA,2021-12-04 17:23:58,-23.3167,17.0833,21.95,12,0,8.23
201,Touros,BR,2021-12-04 17:21:34,-5.1989,-35.4608,31.5,63,73,7.01
202,Lorengau,PG,2021-12-04 17:23:58,-2.0226,147.2712,27.98,82,99,8.3
203,Turukhansk,RU,2021-12-04 17:23:59,65.8167,87.9833,-37.92,100,95,2.35
204,Hawalli,KW,2021-12-04 17:23:59,29.2833,47.9972,18.09,36,0,1.34
205,Barrow,US,2021-12-04 17:22:46,71.2906,-156.7887,-11.99,72,90,6.17
206,Beberibe,BR,2021-12-04 17:23:59,-4.1797,-38.1306,31.02,62,55,6.3
207,Boa Vista,BR,2021-12-04 17:23:59,2.8197,-60.6733,30.99,51,75,4.63
208,Livingston,GB,2021-12-04 17:24:00,55.9029,-3.5226,5.45,76,20,3.6
209,Margate,GB,2021-12-04 17:24:00,51.3813,1.3862,6.13,74,32,1.34
210,Edmonton,CA,2021-12-04 17:20:11,53.5501,-113.4687,-7.88,77,1,0.45
211,Adre,TD,2021-12-04 17:24:00,13.4667,22.2,26.08,21,2,1.16
212,Burnie,AU,2021-12-04 17:22:51,-41.0667,145.9167,11.9,66,98,4.86
213,Corner Brook,CA,2021-12-04 17:24:01,48.9667,-57.9484,-2.93,71,100,8.21
